HG00096,HG00103,HG00106,HG00111,HG00116,HG00126,HG00132,HG00149,HG00150,HG00176,seqnames,start,end,width,strand,startID,endID,intron_motif,startID,endID,maxCount,quantileValueN,passedExpression,passed,maxDJaccard,passedVariability,b_jaccard,rho_jaccard
0,1,1,1,1,1,0,1,0,1,chr21,19632604,19635107,2504,+,10,672,GT-AG,10,672,1,1,FALSE,FALSE,0,FALSE,1.67852669095886,0.499999873396516
0,0,3,1,1,0,0,0,1,2,chr21,19635211,19638270,3060,+,11,673,GT-AG,11,673,3,2.55,FALSE,FALSE,0,FALSE,1.36721954606037,0.982607972777295
7,4,8,4,1,10,7,4,10,1,chr21,25801219,25810566,9348,+,12,674,GT-AG,12,674,10,10.55,FALSE,FALSE,0.578409090909091,TRUE,3.02462437048271,0.00200681089861698
1,0,0,0,0,0,0,0,0,0,chr21,25801219,25814108,12890,+,12,675,GT-AG,12,675,1,20.4,FALSE,FALSE,0.0818181818181818,TRUE,-4.30545885245427,0.00630954168276685
0,0,0,0,0,0,0,0,0,2,chr21,25801219,25816277,15059,+,12,676,GT-AG,12,676,2,12.65,FALSE,FALSE,0.6,TRUE,-3.76637403504384,0.48679760325941
0,0,0,0,0,1,0,0,0,0,chr21,25801219,25857936,56718,+,12,677,GT-AG,12,677,1,13.2,FALSE,FALSE,0.06,TRUE,-3.75641565448939,0.00154267868592415
1,1,0,0,0,0,0,0,0,0,chr21,25810748,25813482,2735,+,13,678,GT-AG,13,678,1,6.1,FALSE,FALSE,0.388888888888889,TRUE,-2.01839818737575,0.135405622635826
1,0,0,4,0,1,0,0,2,1,chr21,25810748,25814108,3361,+,13,675,GT-AG,13,675,4,9.84999999999999,FALSE,FALSE,0.738974358974359,TRUE,-1.67855204242122,0.403960836791621
0,1,1,1,0,0,1,1,5,0,chr21,25810758,25813482,2725,+,14,678,GT-AG,14,678,5,8.1,FALSE,FALSE,0.661375661375661,TRUE,-1.14186585657031,0.190841328159358
2,0,2,0,5,9,2,5,2,0,chr21,25810758,25814108,3351,+,14,675,GT-AG,14,675,9,12.1,FALSE,FALSE,0.611158841158841,TRUE,-0.600309367802523,0.176322712318873
0,1,2,0,0,3,2,1,2,0,chr21,25813668,25814108,441,+,15,675,GT-AG,15,675,3,9.84999999999999,FALSE,FALSE,0.726923076923077,TRUE,-1.47430830673959,0.00126839536413241
1,0,0,3,1,3,3,2,1,0,chr21,25814228,25816277,2050,+,16,676,GT-AG,16,676,3,5.65,FALSE,FALSE,0.709821428571429,TRUE,0.859682005278778,0.0195542791818213
0,0,0,0,0,4,0,0,1,1,chr21,25814228,25857936,43709,+,16,677,GT-AG,16,677,4,6.2,FALSE,FALSE,0.75,TRUE,-1.25899769817112,0.0872839436640187
0,0,0,1,0,0,0,0,0,0,chr21,25814228,25877239,63012,+,16,679,GT-AG,16,679,1,5.65,FALSE,FALSE,0.21875,TRUE,-2.20154897070552,0.0381079974760922
0,0,0,0,0,1,0,0,0,0,chr21,25816443,25918308,101866,+,17,680,GT-AG,17,680,1,1,FALSE,FALSE,0.5,TRUE,2.1316282072803e-16,0.499999961226043
0,0,0,0,1,7,1,0,0,1,chr21,25858000,25860426,2427,+,18,681,GT-AG,18,681,7,4.29999999999999,FALSE,FALSE,0,FALSE,1.14563656954364,0.986302099993239
0,1,0,0,0,0,0,0,0,0,chr21,25860624,25918308,57685,+,19,680,GT-AG,19,680,1,1,FALSE,FALSE,0.5,TRUE,2.1316282072803e-16,0.499999968985046
0,0,1,0,0,0,0,0,0,0,chr21,27253802,27253803,2,+,20,682,,20,682,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000040097874
0,0,0,0,0,0,0,0,0,1,chr21,30566582,30594784,28203,+,21,683,GT-AG,21,683,1,2,FALSE,FALSE,0.333333333333333,TRUE,-0.608904487544685,0.0383744395098674
0,0,0,0,0,0,0,0,1,0,chr21,30566582,30660304,93723,+,21,684,GT-AG,21,684,1,1,FALSE,FALSE,0.5,TRUE,1.77635683940025e-16,0.500000150938037
0,0,2,0,0,0,0,0,1,1,chr21,30591248,30594784,3537,+,22,683,GT-AG,22,683,2,2,FALSE,FALSE,0.333333333333333,TRUE,0.544241771052179,0.0145420993568365
0,1,0,0,0,0,0,0,0,0,chr21,33150671,33296779,146109,+,23,685,GT-AG,23,685,1,1,FALSE,FALSE,0.5,TRUE,1.73194791841524e-16,0.499999947750721
0,0,1,0,0,0,0,0,0,0,chr21,33240648,33296779,56132,+,24,685,GT-AG,24,685,1,1,FALSE,FALSE,0.5,TRUE,1.73194791841524e-16,0.500000099977659
1,0,2,0,0,1,0,0,0,0,chr21,33297073,33312476,15404,+,25,686,GT-AG,25,686,2,1.55,FALSE,FALSE,0,FALSE,0.784031298332016,0.972135486038972
1,0,0,0,0,0,1,0,0,0,chr21,33317312,33318347,1036,+,26,687,GT-AG,26,687,1,1,FALSE,FALSE,0,FALSE,0.479579054559674,0.499999999996317
0,0,1,0,0,0,0,0,0,0,chr21,33318484,33323146,4663,+,27,688,GT-AG,27,688,1,2.1,FALSE,FALSE,0.222222222222222,TRUE,-0.544241771052179,0.00727146969479073
0,0,2,0,0,0,1,0,0,1,chr21,33318484,33331154,12671,+,27,689,GT-AG,27,689,2,2.1,FALSE,FALSE,0.222222222222222,TRUE,0.54424177105218,0.0072714674330808
0,0,2,0,0,1,0,1,1,0,chr21,33331283,33340561,9279,+,28,690,GT-AG,28,690,2,1.55,FALSE,FALSE,0,FALSE,1.02382082561185,0.964776315192693
0,0,0,0,0,1,0,2,0,0,chr21,33340698,33346866,6169,+,29,691,GT-AG,29,691,2,1.55,FALSE,FALSE,0,FALSE,0.544241771052179,0.965063526272517
0,0,0,0,0,1,0,0,0,1,chr21,33347030,33355838,8809,+,30,692,GT-AG,30,692,1,1,FALSE,FALSE,0,FALSE,0.479579054559674,0.499999991665523
0,0,1,0,0,1,0,0,0,0,chr21,33355923,33362441,6519,+,31,693,GT-AG,31,693,1,1,FALSE,FALSE,0,FALSE,0.479579054559674,0.499999991665491
0,0,1,0,0,0,0,0,0,0,chr21,33362490,33368080,5591,+,32,694,GT-AG,32,694,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000040097874
0,0,0,0,0,0,0,0,1,0,chr21,33368262,33370838,2577,+,33,695,GT-AG,33,695,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.499999991666228
0,1,0,0,0,0,0,0,0,0,chr21,34443992,34444357,366,+,34,696,GT-AG,34,696,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.499999965255526
0,0,0,0,0,1,0,0,0,0,chr21,34602308,34614190,11883,+,35,697,GT-AG,35,697,1,91.7,FALSE,FALSE,0.0107142857142857,FALSE,-6.10510047011572,0.000411459454784674
0,0,0,0,0,0,0,1,0,0,chr21,34602522,34605027,2506,+,36,698,GT-AG,36,698,1,88.25,FALSE,FALSE,0.00947368421052632,FALSE,-5.92678216667091,0.00034530398675378
16,16,14,6,7,14,7,34,17,21,chr21,34602522,34614144,11623,+,36,699,GT-AG,36,699,34,96.2,TRUE,TRUE,0.0772959608956473,TRUE,-1.1590777332189,0.000145918363665044
45,36,30,8,19,60,20,51,36,51,chr21,34602522,34614190,11669,+,36,697,GT-AG,36,697,60,125.35,TRUE,TRUE,0.14717557451695,TRUE,-0.288480093857831,0.00907769038823258
1,1,1,0,2,2,0,2,1,1,chr21,34602522,34617255,14734,+,36,700,GT-AG,36,700,2,225.3,FALSE,FALSE,0.00790708614241488,FALSE,-5.36652835847316,3.88963311610686e-05
0,1,0,0,0,0,1,0,0,0,chr21,34602863,34614144,11282,+,37,699,GT-AG,37,699,1,42.85,FALSE,FALSE,0.0566666666666667,TRUE,-4.9029400893728,0.000758814755695894
0,1,0,0,0,1,0,0,2,1,chr21,34602863,34614190,11328,+,37,697,GT-AG,37,697,2,91.7,FALSE,FALSE,0.0222951289799116,FALSE,-5.32234470991266,0.000247429259487929
0,0,0,0,1,0,0,0,0,0,chr21,34602863,34617255,14393,+,37,700,GT-AG,37,700,1,159.25,FALSE,FALSE,0.0076271186440678,FALSE,-6.90392449767494,0.000699803191715797
0,0,0,0,0,0,0,0,0,1,chr21,34611507,34614144,2638,+,38,699,GT-AG,38,699,1,41.95,FALSE,FALSE,0.0321428571428571,FALSE,-5.12135719566528,0.00186119037373938
0,0,0,0,1,0,0,0,0,0,chr21,34611596,34614144,2549,+,39,699,GT-AG,39,699,1,41.95,FALSE,FALSE,0.09,TRUE,-5.11455467947824,0.0330611661703515
77,95,100,95,92,103,119,102,84,112,chr21,34614283,34615977,1695,+,40,701,GT-AG,40,701,119,120.6,TRUE,TRUE,0.0910049161999247,TRUE,2.71615611390905,0.0102046633041176
0,0,0,0,0,0,0,1,0,0,chr21,34614283,34615987,1705,+,40,702,GT-AG,40,702,1,117.5,FALSE,FALSE,0.00849056603773585,FALSE,-6.67859734464674,0.000455398106647027
0,0,0,0,0,1,0,0,0,0,chr21,34614283,34617255,2973,+,40,700,GT-AG,40,700,1,274.4,FALSE,FALSE,0.00352941176470588,FALSE,-7.48974452024263,0.00016940186785378
0,0,0,0,0,0,0,0,1,0,chr21,34614283,34619022,4740,+,40,703,GT-AG,40,703,1,276.85,FALSE,FALSE,0.0037037037037037,FALSE,-7.5532752392653,0.000201273916440619
96,121,110,99,115,143,165,99,133,141,chr21,34616020,34617255,1236,+,41,700,GT-AG,41,700,165,160.9,TRUE,TRUE,0.0650260205303401,TRUE,2.72520121852011,0.00789378976437596
1,0,0,0,0,0,0,0,1,0,chr21,34617380,34618396,1017,+,42,704,GT-AG,42,704,1,163.75,FALSE,FALSE,0.00668260473588343,FALSE,-6.7436532643489,0.000121146886473745
116,142,131,117,127,133,166,126,139,130,chr21,34617380,34619022,1643,+,42,703,GT-AG,42,703,166,173.75,TRUE,TRUE,0.0735879399705202,TRUE,2.3666002130746,0.0130823007236988
0,0,0,0,0,0,0,0,1,0,chr21,34617380,34619030,1651,+,42,705,GT-AG,42,705,1,163.75,FALSE,FALSE,0.00625,FALSE,-6.9842651646845,0.000303515312304038
11,2,1,3,4,7,6,7,11,6,chr21,34618788,34619022,235,+,43,703,GT-AG,43,703,11,166.55,FALSE,FALSE,0.0443431072626465,FALSE,-3.3350259255892,0.00648393690707708
100,106,87,118,137,118,142,118,86,106,chr21,34619196,34621013,1818,+,44,706,GT-AG,44,706,142,145.05,TRUE,FALSE,0.0472218350798234,FALSE,3.18332089406355,9.97210813148968e-05
0,0,2,1,2,1,0,1,1,2,chr21,34621160,34624442,3283,+,45,707,GT-AG,45,707,2,219.6,FALSE,FALSE,0.00782780411125968,FALSE,-5.64369361321558,7.38125005452388e-05
156,195,145,140,186,208,222,164,202,205,chr21,34621160,34624966,3807,+,45,708,GT-AG,45,708,222,224.7,TRUE,FALSE,0.040685918862754,FALSE,2.95165349925781,5.35739881335335e-05
0,0,0,1,0,0,0,0,1,0,chr21,34621160,34625063,3904,+,45,709,GT-AG,45,709,1,219.6,FALSE,FALSE,0.00568361433087461,FALSE,-7.04107845087306,9.54642542892726e-05
0,0,0,0,0,1,0,0,0,0,chr21,34621160,34635097,13938,+,45,710,GT-AG,45,710,1,314.4,FALSE,FALSE,0.00290322580645161,FALSE,-7.57100248603272,0.00012910824474764
1,2,1,2,0,2,0,0,4,0,chr21,34624554,34624966,413,+,46,708,GT-AG,46,708,4,220.8,FALSE,FALSE,0.0126586154241964,FALSE,-5.75610831798051,0.00333201033644398
0,0,0,0,0,0,0,0,0,1,chr21,34625136,34632879,7744,+,47,711,GT-AG,47,711,1,205,FALSE,FALSE,0.00542168674698795,FALSE,-7.03023263559023,0.000287204454341814
96,132,111,106,167,119,208,93,131,152,chr21,34625136,34632901,7766,+,47,712,GT-AG,47,712,208,216.4,TRUE,TRUE,0.0855596481503904,TRUE,1.43274692599744,0.000139970734847149
3,7,3,0,2,3,4,0,2,3,chr21,34625136,34634865,9730,+,47,713,GT-AG,47,713,7,277.35,FALSE,FALSE,0.0190655765153223,FALSE,-4.80570643445337,0.000103170030384485
8,1,2,4,12,12,8,14,3,9,chr21,34625136,34635097,9962,+,47,710,GT-AG,47,710,14,277.4,FALSE,FALSE,0.0470903077981979,FALSE,-3.51692632473367,0.00350230997182265
0,1,0,3,0,2,2,2,3,0,chr21,34625136,34638316,13181,+,47,714,GT-AG,47,714,3,205,FALSE,FALSE,0.0160412305790963,FALSE,-5.42206965515533,0.00469123451163644
0,1,0,3,1,1,0,0,0,1,chr21,34625136,34640698,15563,+,47,715,GT-AG,47,715,3,263.5,FALSE,FALSE,0.0162399197124745,FALSE,-6.25066137875636,0.00142646674127504
0,0,0,0,1,0,0,2,0,0,chr21,34625136,34648900,23765,+,47,716,GT-AG,47,716,2,321.8,FALSE,FALSE,0.00880593000974888,FALSE,-7.18921815435443,0.00179405534517923
42,54,49,68,60,35,71,38,36,56,chr21,34633033,34634865,1833,+,48,713,GT-AG,48,713,71,153.5,TRUE,TRUE,0.203794172580641,TRUE,-0.179574830273387,0.0267414527250664
0,2,0,0,0,0,0,0,0,0,chr21,34633033,34634867,1835,+,48,717,GT-AG,48,717,2,141.85,FALSE,FALSE,0.02,FALSE,-6.62830716421057,0.0117021084702058
55,30,36,31,40,76,82,48,48,69,chr21,34633033,34635097,2065,+,48,710,GT-AG,48,710,82,154.2,TRUE,TRUE,0.14316679483578,TRUE,-0.27984886312152,0.0210846919031517
0,0,1,0,0,0,0,1,0,0,chr21,34633033,34635116,2084,+,48,718,GT-AG,48,718,1,141.85,FALSE,FALSE,0.00936621518016867,FALSE,-6.45315311503986,0.000213035664783143
0,0,0,1,0,0,0,0,0,0,chr21,34635943,34638316,2374,+,49,714,GT-AG,49,714,1,4.1,FALSE,FALSE,0.166666666666667,TRUE,-1.66705913511214,0.00752500489977869
0,0,0,0,0,1,0,0,0,0,chr21,34635943,34640698,4756,+,49,715,GT-AG,49,715,1,65.75,FALSE,FALSE,0.0225,FALSE,-5.91296800387949,0.00164031632494077
0,0,0,1,0,0,0,0,0,0,chr21,34635943,34652122,16180,+,49,719,GT-AG,49,719,1,2,FALSE,FALSE,0.333333333333333,TRUE,-0.544241771052179,0.0124436645117376
0,1,0,0,0,0,0,0,1,3,chr21,34636832,34636832,1,+,50,720,GC-AG,50,720,3,2.1,FALSE,FALSE,0,FALSE,0.822977775008189,0.971795944975521
2,0,0,3,0,0,4,0,0,0,chr21,34638481,34640698,2218,+,51,715,GT-AG,51,715,4,65.75,FALSE,FALSE,0.0688072392077399,TRUE,-5.11027818241991,0.0245907757823493
44,23,46,28,53,38,57,63,53,51,chr21,34638820,34640698,1879,+,52,715,GT-AG,52,715,63,68.3,TRUE,TRUE,0.106258448974462,TRUE,2.45564593692602,0.00481518854672342
0,0,0,0,0,0,1,1,3,0,chr21,34638820,34648900,10081,+,52,716,GT-AG,52,716,3,173,FALSE,FALSE,0.0180320039279577,FALSE,-6.35033010870036,0.00407996467368532
48,72,76,63,119,91,114,79,83,114,chr21,34640823,34648900,8078,+,53,716,GT-AG,53,716,119,125.05,TRUE,TRUE,0.0691945636986943,TRUE,2.51581615156992,0.00590883922606955
0,0,0,0,1,0,0,0,0,0,chr21,34640823,34648906,8084,+,53,721,GT-AG,53,721,1,124.5,FALSE,FALSE,0.00697674418604651,FALSE,-6.54656821919696,0.000351869471109209
5,0,2,2,7,10,3,7,3,5,chr21,34640823,34652056,11234,+,53,722,GT-AG,53,722,10,279.05,FALSE,FALSE,0.0200192061455557,FALSE,-4.23400522617508,0.00626218782043403
1,1,0,0,0,0,0,0,0,0,chr21,34649028,34652056,3029,+,54,722,GT-AG,54,722,1,171.35,FALSE,FALSE,0.00867356718420548,FALSE,-6.65061562113602,0.000219892460396578
0,1,0,0,0,0,0,0,0,0,chr21,34649059,34651393,2335,+,55,723,GT-AG,55,723,1,161.95,FALSE,FALSE,0.00841121495327103,FALSE,-6.85197840206419,0.000836433232142534
88,102,95,72,154,166,153,112,148,140,chr21,34649059,34652056,2998,+,55,722,GT-AG,55,722,166,171.8,TRUE,TRUE,0.0596490320834739,TRUE,2.79909790103867,0.000251471728690042
0,0,0,0,0,0,2,0,0,0,chr21,34649059,34652122,3064,+,55,719,GT-AG,55,719,2,161.95,FALSE,FALSE,0.0114649681528662,FALSE,-6.78834996349363,0.00682916191698251
0,0,0,0,0,0,0,0,1,0,chr21,34651474,34652056,583,+,56,722,GT-AG,56,722,1,171.35,FALSE,FALSE,0.00588235294117647,FALSE,-6.89172238959855,0.000265488225688151
75,91,81,74,118,112,126,89,113,113,chr21,34652224,34655398,3175,+,57,724,GT-AG,57,724,126,133.9,TRUE,FALSE,0.0457851048571927,FALSE,2.38686356795799,6.99834333253155e-05
97,82,84,79,120,107,156,104,88,103,chr21,34655547,34660408,4862,+,58,725,GT-AG,58,725,156,149.9,TRUE,TRUE,0.0667655492190949,TRUE,2.71161522325166,0.000671230958656957
0,3,0,0,1,0,1,1,0,1,chr21,34655547,34668488,12942,+,58,726,GT-AG,58,726,3,311,FALSE,FALSE,0.010971926852212,FALSE,-6.46078318008538,0.000708524885301797
0,0,0,0,0,0,1,0,0,0,chr21,34660149,34660408,260,+,59,725,GT-AG,59,725,1,148.35,FALSE,FALSE,0.00545454545454546,FALSE,-6.72446001322074,0.000210225399030657
0,0,0,0,2,0,0,0,0,0,chr21,34660567,34661654,1088,+,60,727,GT-AG,60,727,2,166.2,FALSE,FALSE,0.0107142857142857,FALSE,-6.88776601022134,0.0030585678559161
0,0,1,0,0,0,1,0,0,0,chr21,34660567,34666316,5750,+,60,728,GT-AG,60,728,1,166.2,FALSE,FALSE,0.00689024390243903,FALSE,-6.71238872769416,0.000111810184234369
102,122,116,107,164,134,161,117,124,151,chr21,34660567,34668488,7922,+,60,726,GT-AG,60,726,164,174.1,TRUE,TRUE,0.0697902420930654,TRUE,2.69477220298708,0.013935539734058
0,0,0,0,1,0,0,0,0,0,chr21,34660567,34668548,7982,+,60,729,GT-AG,60,729,1,166.2,FALSE,FALSE,0.00535714285714286,FALSE,-6.95302896861205,0.000296996417175728
0,0,0,0,0,0,0,1,0,0,chr21,34660567,34668582,8016,+,60,730,GT-AG,60,730,1,166.2,FALSE,FALSE,0.00714285714285714,FALSE,-6.95282944654357,0.000476573621410195
1,0,0,1,0,2,0,0,0,1,chr21,34660567,34680489,19923,+,60,731,GT-AG,60,731,2,166.2,FALSE,FALSE,0.0104649187241009,FALSE,-6.16565290651575,0.000367465702828351
1,0,0,0,0,0,0,0,0,0,chr21,34660567,34681280,20714,+,60,732,GT-AG,60,732,1,166.2,FALSE,FALSE,0.00833333333333333,FALSE,-6.95269625437423,0.000670860611575281
0,0,1,0,0,0,0,0,0,0,chr21,34666433,34668488,2056,+,61,726,GT-AG,61,726,1,170.65,FALSE,FALSE,0.00756302521008403,FALSE,-6.96268393466356,0.00049642893995313
0,0,0,0,1,0,0,0,0,0,chr21,34856371,34858604,2234,+,62,733,GT-AG,62,733,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000008335434
0,0,1,0,0,0,0,0,2,0,chr21,35015020,35091101,76082,+,63,734,GT-AG,63,734,2,1.55,FALSE,FALSE,0,FALSE,0.544241771052179,0.977716158884025
1,2,1,0,1,0,0,1,0,0,chr21,35091162,35093482,2321,+,64,735,GT-AG,64,735,2,1.55,FALSE,FALSE,0,FALSE,1.26361035289169,0.953136285143741
1,0,0,1,2,0,2,1,2,0,chr21,35093576,35094892,1317,+,65,736,GT-AG,65,736,2,2,FALSE,FALSE,0,FALSE,1.63272531315654,0.975192466429068
1,0,1,1,1,1,0,2,2,0,chr21,35094957,35107348,12392,+,66,737,GT-AG,66,737,2,2,FALSE,FALSE,0,FALSE,1.80785212394387,0.970547183673108
0,0,0,0,0,0,1,0,0,0,chr21,35107510,35107610,101,+,67,738,GT-AG,67,738,1,1,FALSE,FALSE,0.875,TRUE,-1.43873716367902,0.49999998333598
1,0,0,0,0,1,0,1,1,1,chr21,35107510,35122447,14938,+,67,739,GT-AG,67,739,1,1,FALSE,FALSE,0.625,TRUE,0.479579054559675,0.499999703021675
0,0,1,0,1,0,0,0,0,0,chr21,35107510,35122558,15049,+,67,740,GT-AG,67,740,1,1,FALSE,FALSE,0.75,TRUE,-0.959158109119348,0.499999912361223
1,0,0,0,2,1,0,0,0,0,chr21,35122628,35124114,1487,+,68,741,GT-AG,68,741,2,1.55,FALSE,FALSE,0,FALSE,0.784031298332016,0.934890474533781
1,0,0,0,5,0,0,2,0,0,chr21,35124212,35127601,3390,+,69,742,GT-AG,69,742,5,3.65,FALSE,FALSE,0,FALSE,0.937424334324611,0.978605573663485
3,0,1,1,3,1,0,4,0,0,chr21,35127703,35134226,6524,+,70,743,GT-AG,70,743,4,3.55,FALSE,FALSE,0,FALSE,1.77752322940697,0.984208656765132
1,0,2,1,0,1,1,1,0,1,chr21,35134291,35138178,3888,+,71,744,GT-AG,71,744,2,1.55,FALSE,FALSE,0,FALSE,1.74318940745137,0.953902226434038
1,0,0,1,1,0,1,2,1,2,chr21,35138317,35140016,1700,+,72,745,GT-AG,72,745,2,2,FALSE,FALSE,0,FALSE,1.80785212394387,0.959247289014901
0,0,0,0,0,0,0,1,0,0,chr21,35140133,35144342,4210,+,73,746,GT-AG,73,746,1,2,FALSE,FALSE,0.375,TRUE,-0.784031298332016,0.0106385128277629
0,0,0,0,1,0,0,1,1,2,chr21,35140133,35144364,4232,+,73,747,GT-AG,73,747,2,2,FALSE,FALSE,0.375,TRUE,0.784031298332017,0.0106384959839226
3,0,1,0,3,2,2,2,0,0,chr21,35144628,35147032,2405,+,74,748,GT-AG,74,748,3,3,FALSE,FALSE,0,FALSE,1.83994369949389,0.98678305709726
0,0,1,0,2,0,2,3,4,1,chr21,35147183,35147271,89,+,75,749,GT-AG,75,749,4,3.55,FALSE,FALSE,0,FALSE,1.8032394692233,0.986537402878192
0,0,2,0,0,2,2,4,1,0,chr21,35147413,35153764,6352,+,76,750,GT-AG,76,750,4,3.1,FALSE,FALSE,0,FALSE,1.52450346526729,0.988701828386777
1,0,3,0,2,2,3,5,0,0,chr21,35153853,35154297,445,+,77,751,GT-AG,77,751,5,4.1,FALSE,FALSE,0,FALSE,1.92867401899398,0.989747873188905
1,1,1,1,0,3,2,2,0,0,chr21,35154438,35166644,12207,+,78,752,GT-AG,78,752,3,2.55,FALSE,FALSE,0,FALSE,1.91146131711255,0.983319576589624
0,0,1,4,3,2,4,5,0,3,chr21,35166773,35169682,2910,+,79,753,GT-AG,79,753,5,4.55,FALSE,FALSE,0,FALSE,2.3669361885625,0.986189650345396
0,0,3,1,1,1,3,3,2,0,chr21,35169913,35172111,2199,+,80,754,GT-AG,80,754,3,3,FALSE,FALSE,0,FALSE,2.0540169869574,0.986968432053705
0,1,4,0,3,0,1,4,3,2,chr21,35172234,35183278,11045,+,81,755,GT-AG,81,755,4,4,FALSE,FALSE,0,FALSE,2.21354315256991,0.985529471141776
0,0,2,2,1,0,1,0,1,0,chr21,35183527,35186216,2690,+,82,756,GT-AG,82,756,2,2,FALSE,FALSE,0,FALSE,1.3282730693842,0.981278803033718
1,0,1,0,0,0,1,0,1,1,chr21,35186377,35190570,4194,+,83,757,GT-AG,83,757,1,1,FALSE,FALSE,0,FALSE,1.19894763639919,0.499999846440691
1,0,1,1,0,1,0,2,1,1,chr21,35190777,35191544,768,+,84,758,GT-AG,84,758,2,1.55,FALSE,FALSE,0,FALSE,1.74318940745137,0.899604759645826
0,0,0,0,0,0,0,0,4,0,chr21,35191628,35195790,4163,+,85,759,GT-AG,85,759,4,2.65,FALSE,FALSE,0.5,TRUE,0.131567679390593,0.989626953507429
0,0,0,0,0,0,0,1,0,0,chr21,35191628,35201927,10300,+,85,760,GT-AG,85,760,1,3.1,FALSE,FALSE,0.8,TRUE,-0.980261694215115,0.991178029932227
0,0,0,0,0,1,1,0,1,0,chr21,35195958,35199121,3164,+,86,761,GT-AG,86,761,1,1,FALSE,FALSE,0,FALSE,0.719368581839512,0.500000008338162
0,0,0,0,0,0,0,0,1,0,chr21,35199168,35201271,2104,+,87,762,GT-AG,87,762,1,2,FALSE,FALSE,0.75,TRUE,-0.608904487544684,0.986996099998958
2,0,0,0,0,2,1,0,0,0,chr21,35199168,35201927,2760,+,87,760,GT-AG,87,760,2,2,FALSE,FALSE,0.6,TRUE,0.369114960264847,0.988217896431928
0,0,0,0,0,0,1,3,1,0,chr21,35208937,35209290,354,+,88,763,GT-AG,88,763,3,2.1,FALSE,FALSE,0,FALSE,0.822977775008189,0.977965084920338
0,0,0,0,0,0,0,1,0,0,chr21,35257428,35257742,315,+,89,764,GT-AG,89,764,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.499999999997727
0,0,0,0,0,0,0,1,0,0,chr21,35303572,35318113,14542,+,90,765,GT-AG,90,765,1,2,FALSE,FALSE,0.375,TRUE,-0.784031298332016,0.0148356683692026
0,0,0,0,0,0,0,0,0,1,chr21,35304047,35308093,4047,+,91,766,GT-AG,91,766,1,3.55,FALSE,FALSE,0.2,TRUE,-1.29570192844171,0.00520206275275415
